nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
codecrafters-io/build-your-own-x,471704,2018-05-09 12:03:18+00:00,2855,2026-03-03 19:51:33+00:00,0,Markdown,155,0,887,653,0.7362
sindresorhus/awesome,442207,2014-07-11 13:42:37+00:00,4253,2026-03-03 19:53:13+00:00,0,,694,0,365,349,0.9562
freeCodeCamp/freeCodeCamp,437703,2014-12-24 17:49:19+00:00,4087,2026-03-03 19:48:06+00:00,0,TypeScript,27736,0,21147,20965,0.9914
public-apis/public-apis,403410,2016-03-20 23:49:42+00:00,3634,2026-03-03 19:51:23+00:00,0,Python,1872,0,835,832,0.9964
EbookFoundation/free-programming-books,383527,2013-10-11 06:50:37+00:00,4526,2026-03-03 19:52:47+00:00,0,Python,7328,0,1262,1227,0.9723
kamranahmedse/developer-roadmap,350071,2017-03-15 13:45:52+00:00,3275,2026-03-03 19:23:45+00:00,0,TypeScript,4065,1,3082,3052,0.9903
jwasham/coding-interview-university,337545,2016-06-06 02:34:12+00:00,3557,2026-03-03 19:27:24+00:00,0,,415,0,525,454,0.8648
donnemartin/system-design-primer,337170,2017-02-26 16:15:28+00:00,3292,2026-03-03 19:46:55+00:00,0,Python,203,0,359,110,0.3064
vinta/awesome-python,285381,2014-06-27 21:00:06+00:00,4266,2026-03-03 19:48:58+00:00,0,Python,639,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,276314,2015-06-01 02:33:17+00:00,3928,2026-03-03 19:52:02+00:00,0,,2395,1,807,807,1.0
996icu/996.ICU,275615,2019-03-26 07:31:14+00:00,2534,2026-03-03 17:28:42+00:00,0,,1072,0,0,0,0.0
practical-tutorials/project-based-learning,259952,2017-04-12 05:07:46+00:00,3247,2026-03-03 19:32:58+00:00,0,,182,0,227,82,0.3612
openclaw/openclaw,253673,2025-11-24 10:16:47+00:00,99,2026-03-03 19:52:38+00:00,0,TypeScript,2629,59,14536,9847,0.6774
facebook/react,243518,2013-05-24 16:15:54+00:00,4666,2026-03-03 19:38:21+00:00,0,JavaScript,12766,118,14383,13571,0.9435
