nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
codecrafters-io/build-your-own-x,472883,2018-05-09 12:03:18+00:00,2858,2026-03-06 20:23:59+00:00,0,Markdown,155,0,888,653,0.7354
sindresorhus/awesome,443097,2014-07-11 13:42:37+00:00,4256,2026-03-06 20:35:49+00:00,0,,694,0,365,349,0.9562
freeCodeCamp/freeCodeCamp,437844,2014-12-24 17:49:19+00:00,4090,2026-03-06 20:14:08+00:00,0,TypeScript,27781,0,21157,20983,0.9918
public-apis/public-apis,404753,2016-03-20 23:49:42+00:00,3637,2026-03-06 20:33:07+00:00,0,Python,1872,0,839,833,0.9928
EbookFoundation/free-programming-books,383678,2013-10-11 06:50:37+00:00,4529,2026-03-06 20:17:20+00:00,0,Python,7333,0,1264,1228,0.9715
kamranahmedse/developer-roadmap,350324,2017-03-15 13:45:52+00:00,3278,2026-03-06 20:34:11+00:00,0,TypeScript,4077,1,3086,3056,0.9903
jwasham/coding-interview-university,337639,2016-06-06 02:34:12+00:00,3560,2026-03-06 19:46:09+00:00,0,,415,0,525,454,0.8648
donnemartin/system-design-primer,337611,2017-02-26 16:15:28+00:00,3295,2026-03-06 20:29:08+00:00,0,Python,203,0,360,110,0.3056
vinta/awesome-python,285895,2014-06-27 21:00:06+00:00,4269,2026-03-06 20:40:36+00:00,0,Python,641,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,277959,2015-06-01 02:33:17+00:00,3931,2026-03-06 20:42:30+00:00,0,,2395,1,807,807,1.0
996icu/996.ICU,275667,2019-03-26 07:31:14+00:00,2537,2026-03-06 19:41:50+00:00,0,,1072,0,0,0,0.0
openclaw/openclaw,270714,2025-11-24 10:16:47+00:00,102,2026-03-06 20:41:56+00:00,0,TypeScript,2796,59,15726,10140,0.6448
practical-tutorials/project-based-learning,260382,2017-04-12 05:07:46+00:00,3250,2026-03-06 20:34:22+00:00,0,,182,0,227,82,0.3612
facebook/react,243683,2013-05-24 16:15:54+00:00,4669,2026-03-06 20:32:05+00:00,0,JavaScript,12774,118,14387,13577,0.9437
torvalds/linux,221203,2011-09-04 22:48:12+00:00,5296,2026-03-06 20:42:42+00:00,0,C,0,0,0,0,0.0
TheAlgorithms/Python,218396,2016-07-16 09:44:01+00:00,3520,2026-03-06 19:50:18+00:00,0,Python,3046,0,1702,1540,0.9048
vuejs/vue,209962,2013-07-29 03:24:51+00:00,4603,2026-03-06 19:47:11+00:00,0,TypeScript,1136,249,10028,9669,0.9642
trimstray/the-book-of-secret-knowledge,208929,2018-06-23 10:43:14+00:00,2813,2026-03-06 20:28:14+00:00,0,,122,0,0,0,0.0
ossu/computer-science,202176,2014-05-04 00:18:39+00:00,4324,2026-03-06 19:55:47+00:00,0,HTML,305,0,666,654,0.982
trekhleb/javascript-algorithms,195748,2018-03-24 07:47:04+00:00,2904,2026-03-06 19:27:23+00:00,0,JavaScript,304,0,372,234,0.629
tensorflow/tensorflow,194015,2015-11-07 01:19:20+00:00,3772,2026-03-06 20:14:10+00:00,0,C++,42339,222,41197,40303,0.9783
ohmyzsh/ohmyzsh,185150,2009-08-28 18:15:37+00:00,6034,2026-03-06 20:18:41+00:00,0,Shell,3517,0,5034,4892,0.9718
getify/You-Dont-Know-JS,184465,2013-11-16 02:37:24+00:00,4493,2026-03-06 19:26:15+00:00,0,,370,0,949,949,1.0
CyC2018/CS-Notes,183827,2018-02-13 14:56:24+00:00,2943,2026-03-06 19:17:14+00:00,0,,374,0,578,449,0.7768
microsoft/vscode,182364,2015-09-03 20:23:38+00:00,3837,2026-03-06 20:08:29+00:00,0,TypeScript,43373,197,232359,218871,0.942
Significant-Gravitas/AutoGPT,182225,2023-03-16 09:21:07+00:00,1086,2026-03-06 20:25:12+00:00,0,Python,3981,94,3740,3509,0.9382
jackfrued/Python-100-Days,179331,2018-03-01 16:05:52+00:00,2927,2026-03-06 18:51:38+00:00,0,Jupyter Notebook,13,0,711,188,0.2644
n8n-io/n8n,177907,2019-06-22 09:24:21+00:00,2449,2026-03-06 20:36:57+00:00,0,TypeScript,14134,548,8231,7764,0.9433
flutter/flutter,175451,2015-03-06 22:54:58+00:00,4017,2026-03-06 20:34:46+00:00,0,Dart,46944,7,112463,100297,0.8918
twbs/bootstrap,174028,2011-07-29 21:19:00+00:00,5333,2026-03-06 20:16:40+00:00,0,MDX,9116,94,22848,22459,0.983
github/gitignore,172864,2010-11-08 20:17:14+00:00,5597,2026-03-06 20:36:42+00:00,0,,1727,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,167898,2020-01-12 23:03:34+00:00,2244,2026-03-06 20:38:29+00:00,0,Batchfile,5,29,908,906,0.9978
avelino/awesome-go,166718,2014-07-06 13:42:15+00:00,4261,2026-03-06 20:42:38+00:00,0,Go,3610,0,727,713,0.9807
ollama/ollama,164286,2023-06-26 19:39:32+00:00,984,2026-03-06 19:53:51+00:00,0,Go,3073,189,9498,7505,0.7902
AUTOMATIC1111/stable-diffusion-webui,161523,2022-08-22 14:05:26+00:00,1292,2026-03-06 19:54:57+00:00,0,Python,1884,27,7888,5487,0.6956
jlevy/the-art-of-command-line,160120,2015-05-20 15:11:03+00:00,3943,2026-03-06 20:37:30+00:00,0,,317,0,258,136,0.5271
huggingface/transformers,157495,2018-10-29 13:56:00+00:00,2685,2026-03-06 20:05:52+00:00,0,Python,18746,244,18672,17592,0.9422
Snailclimb/JavaGuide,154082,2018-05-07 13:27:00+00:00,2860,2026-03-06 17:55:50+00:00,0,Java,1213,0,1132,1057,0.9337
DigitalPlatDev/FreeDomain,150998,2024-05-30 13:23:00+00:00,645,2026-03-06 20:35:09+00:00,0,HTML,1,0,0,0,0.0
f/prompts.chat,150362,2022-12-05 13:54:13+00:00,1187,2026-03-06 20:35:45+00:00,0,HTML,201,0,131,128,0.9771
yt-dlp/yt-dlp,149911,2020-10-26 04:22:55+00:00,1957,2026-03-06 20:36:04+00:00,0,Python,3229,131,11129,9307,0.8363
airbnb/javascript,148101,2012-11-01 23:13:50+00:00,4872,2026-03-06 19:23:10+00:00,0,JavaScript,813,0,1404,1301,0.9266
langflow-ai/langflow,145324,2023-02-08 22:28:03+00:00,1121,2026-03-06 20:35:29+00:00,0,Python,5798,285,3164,2824,0.8925
521xueweihan/HelloGitHub,145029,2016-05-04 06:24:11+00:00,3593,2026-03-06 20:18:57+00:00,0,Python,17,63,2964,2681,0.9045
ytdl-org/youtube-dl,139808,2010-10-31 14:35:07+00:00,5605,2026-03-06 19:23:14+00:00,0,Python,1646,341,26819,23190,0.8647
vercel/next.js,138189,2016-10-05 23:32:51+00:00,3438,2026-03-06 20:24:09+00:00,0,JavaScript,26155,1000,24316,22265,0.9157
yangshun/tech-interview-handbook,138014,2016-07-05 05:00:48+00:00,3531,2026-03-06 19:43:36+00:00,0,TypeScript,486,0,121,77,0.6364
Genymobile/scrcpy,136584,2017-11-21 18:00:27+00:00,3027,2026-03-06 20:43:03+00:00,0,C,123,50,5960,3285,0.5512
labuladong/fucking-algorithm,132936,2020-02-19 09:01:23+00:00,2207,2026-03-06 15:24:28+00:00,0,Markdown,244,0,963,962,0.999
golang/go,132921,2014-08-19 04:33:40+00:00,4217,2026-03-06 20:26:48+00:00,0,Go,1,0,70428,60997,0.8661
langgenius/dify,131477,2023-04-12 07:40:24+00:00,1059,2026-03-06 20:42:00+00:00,0,TypeScript,9733,158,16755,16359,0.9764
microsoft/PowerToys,130266,2019-05-01 17:44:02+00:00,2501,2026-03-06 19:25:08+00:00,0,C#,6349,127,38257,30170,0.7886
x1xhlol/system-prompts-and-models-of-ai-tools,128957,2025-03-05 16:38:29+00:00,366,2026-03-06 20:39:54+00:00,0,,46,0,189,108,0.5714
langchain-ai/langchain,128477,2022-10-17 02:58:36+00:00,1236,2026-03-06 20:16:11+00:00,0,Python,16044,1000,9120,8874,0.973
Chalarangelo/30-seconds-of-code,126969,2017-11-29 17:35:03+00:00,3019,2026-03-06 20:14:01+00:00,0,JavaScript,836,12,300,300,1.0
open-webui/open-webui,125991,2023-10-06 22:08:27+00:00,881,2026-03-06 20:02:04+00:00,0,Python,3326,152,7815,7632,0.9766
facebook/react-native,125507,2015-01-09 18:10:16+00:00,4074,2026-03-06 20:24:41+00:00,0,C++,958,444,27580,26830,0.9728
krahets/hello-algo,122716,2022-11-04 11:08:34+00:00,1218,2026-03-06 20:04:05+00:00,0,Java,968,10,282,274,0.9716
kubernetes/kubernetes,120962,2014-06-06 22:56:04+00:00,4290,2026-03-06 19:47:12+00:00,0,Go,64026,784,48636,46791,0.9621
