nome,estrelas,idade_anos,releases,total_classes,loc_total,loc_media,loc_mediana,total_methods,cbo_media,cbo_mediana,cbo_desvio,dit_media,dit_mediana,dit_desvio,lcom_media,lcom_mediana,lcom_desvio
Snailclimb/JavaGuide,154216,7.85,0,3,300,100.0,10.0,11,2.3333,0.0,4.0415,1.0,1.0,0.0,14.3333,0.0,24.8261
krahets/hello-algo,123202,3.35,10,215,7707,35.8465,30.0,793,1.8744,2.0,1.5126,1.0,1.0,0.0,4.707,1.0,10.4579
GrowingGit/GitHub-Chinese-Top-Charts,106824,6.52,0,1,5,5.0,5.0,1,0.0,0.0,,1.0,1.0,,0.0,0.0,
macrozheng/mall,83131,7.94,3,760,100903,132.7671,31.5,14173,3.9342,3.0,4.9669,1.2395,1.0,0.4392,1110.8039,13.0,8155.5552
doocs/advanced-java,78899,7.43,1,1,5,5.0,5.0,1,0.0,0.0,,1.0,1.0,,0.0,0.0,
MisterBooo/LeetCodeAnimation,76717,7.27,0,4,78,19.5,18.5,8,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TheAlgorithms/Java,65200,9.66,0,1753,71990,41.0667,28.0,8340,2.0787,2.0,1.4791,1.0388,1.0,0.261,11.1107,1.0,37.0639
kdn251/interviews,64946,9.07,0,257,5621,21.8716,20.0,365,1.1946,1.0,1.2535,1.0039,1.0,0.0624,0.2918,0.0,0.9294
termux/termux-app,51903,10.39,95,321,24563,76.5202,31.0,2282,5.9128,4.0,7.1871,1.4299,1.0,0.7042,60.8255,0.0,236.3712
google/guava,51500,11.79,57,6385,254113,39.7984,9.0,30048,4.0985,2.0,5.6985,1.8036,1.0,2.255,48.3861,0.0,449.7909
ReactiveX/RxJava,48484,13.17,243,11869,370704,31.233,5.0,34325,2.5248,1.0,5.2534,1.3188,1.0,0.8866,47.4561,0.0,1802.7536
skylot/jadx,47610,12.99,34,3074,138052,44.9096,18.0,14490,4.364,3.0,6.4729,1.6474,1.0,1.239,32.2882,0.0,317.5189
PhilJay/MPAndroidChart,38226,11.88,44,306,21111,68.9902,25.0,2369,8.8431,5.0,10.0066,1.9804,1.0,1.2306,91.0327,1.0,517.7972
halo-dev/halo,38084,7.98,252,1598,55893,34.9768,17.0,5780,7.6546,5.0,7.3488,1.2528,1.0,0.632,7.6521,0.0,31.4224
TeamNewPipe/NewPipe,37515,10.52,141,512,39386,76.9258,26.0,3800,8.6621,5.0,10.5829,1.7168,1.0,1.1416,47.498,1.0,247.5008
geekxh/hello-algorithm,36021,5.79,0,3,61,20.3333,26.0,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
airbnb/lottie-android,35600,9.43,63,291,18159,62.4021,24.0,1795,6.9656,5.0,8.3484,1.2887,1.0,0.6479,35.8007,0.0,302.4854
ashishps1/awesome-system-design-resources,35010,2.38,0,11,336,30.5455,26.0,37,0.8182,1.0,0.603,1.0,1.0,0.0,0.0,0.0,0.0
netty/netty,34844,15.34,0,7821,387941,49.6025,12.0,42920,4.4884,3.0,5.8637,1.5272,1.0,1.1959,68.8816,0.0,1153.1143
SeleniumHQ/selenium,34117,13.16,114,2073,99028,47.7704,20.0,11476,5.7921,4.0,7.0052,1.3825,1.0,1.0489,33.5977,1.0,285.8883
zxing/zxing,33884,14.42,32,597,40179,67.3015,31.0,3249,4.9849,4.0,4.8037,1.6616,2.0,0.7703,22.8878,0.0,130.647
alibaba/easyexcel,33761,8.1,14,560,20545,36.6875,15.0,2308,6.6321,5.0,6.0929,1.375,1.0,0.8345,32.025,1.0,355.6685
Blankj/AndroidUtilCode,33706,9.62,117,670,39995,59.694,14.0,4936,4.1687,2.0,5.5623,1.3642,1.0,0.8356,144.9537,0.0,960.5051
ityouknow/spring-boot-examples,30646,9.35,0,307,4461,14.5309,7.0,882,4.7264,4.0,3.1044,1.0261,1.0,0.1596,5.0326,0.0,16.3495
chinabugotech/hutool,30340,11.92,157,2727,135824,49.8071,18.0,18407,3.5394,3.0,3.8349,1.2805,1.0,0.7493,101.0689,0.0,952.6421
xuxueli/xxl-job,29980,10.29,42,169,8615,50.9763,28.0,807,4.9941,3.0,5.6194,1.1598,1.0,0.4132,24.5444,0.0,102.3985
alibaba/canal,29623,13.16,32,1054,112746,106.9696,30.0,8572,5.8008,4.0,6.4409,1.3786,1.0,0.8211,77.0342,1.0,466.3286
alibaba/druid,28225,14.36,52,5963,349344,58.5853,21.0,36587,5.2329,4.0,12.9187,1.6549,2.0,0.9245,229.5103,0.0,5185.4499
lenve/vhr,28077,8.19,0,94,2971,31.6064,20.0,682,4.4362,2.0,5.843,1.0213,1.0,0.1451,48.3298,6.0,225.795
crossoverJie/JCSprout,27013,8.24,0,162,4399,27.1543,15.0,374,1.963,1.0,1.858,1.0926,1.0,0.3664,1.7654,0.0,6.3584
kestra-io/kestra,26533,6.55,405,2132,76177,35.7303,14.0,8700,8.2613,6.0,8.9939,1.485,1.0,0.872,16.2992,0.0,96.2328
alibaba/fastjson,25706,14.36,84,6327,206496,32.6373,13.0,21439,1.8524,1.0,2.7788,1.5043,1.0,0.7132,126.1212,0.0,3281.9663
JakeWharton/butterknife,25419,13.02,0,272,7712,28.3529,8.0,667,3.9596,2.0,6.4139,1.2353,1.0,0.7109,10.4816,0.0,75.8065
scwang90/SmartRefreshLayout,25177,8.78,14,341,18146,53.2141,12.0,1308,6.651,3.0,7.5913,1.5073,1.0,0.8493,30.3196,0.0,295.0474
jenkinsci/jenkins,25094,15.3,480,4118,188273,45.7195,16.0,19892,6.3477,4.0,8.5302,1.9082,2.0,1.7661,46.5209,0.0,909.5196
proxyee-down-org/proxyee-down,24801,8.38,49,60,3392,56.5333,36.5,318,5.5167,4.0,6.2232,1.4667,1.0,0.9291,19.5167,2.0,49.7286
greenrobot/EventBus,24760,13.66,7,183,5269,28.7923,8.0,575,3.4262,3.0,3.0659,1.8361,1.0,1.4241,9.0546,0.0,35.0823
google/gson,24341,10.98,12,1082,34782,32.146,8.0,3318,3.0333,2.0,4.4546,1.2856,1.0,1.0255,20.5906,0.0,377.6397
dataease/dataease,23590,5.11,105,1124,44335,39.444,9.0,3937,4.9653,3.0,7.4983,1.2046,1.0,0.6758,28.2242,0.0,185.0378
doocs/source-code-hunter,23127,6.37,0,1,5,5.0,5.0,1,0.0,0.0,,1.0,1.0,,0.0,0.0,
LSPosed/LSPosed,23044,5.25,39,427,22952,53.7518,12.0,2039,5.5222,3.0,7.2472,1.6464,1.0,1.287,48.1148,0.0,319.8493
ashishps1/awesome-low-level-design,22688,2.32,0,793,14621,18.4376,13.0,2399,2.6343,2.0,2.552,1.1387,1.0,0.4334,3.0542,0.0,11.1441
apache/rocketmq,22371,9.28,24,3002,234558,78.1339,29.0,23494,7.0863,4.0,10.8487,1.3341,1.0,0.7495,135.6103,1.0,2831.5451
kunal-kushwaha/DSA-Bootcamp-Java,22293,4.62,0,253,6614,26.1423,16.0,723,1.2688,1.0,1.2404,1.083,1.0,0.3407,3.502,1.0,11.0107
elunez/eladmin,21944,7.24,1,282,8070,28.617,11.0,959,8.0142,5.0,7.6832,1.1631,1.0,0.4484,6.2589,0.0,19.5636
CarGuo/GSYVideoPlayer,21420,9.33,64,674,32667,48.4674,12.0,3802,5.3264,2.0,6.7788,1.543,1.0,1.4806,52.3457,0.0,301.4195
brettwooldridge/HikariCP,21061,12.43,0,185,11464,61.9676,24.0,1403,4.3838,3.0,4.1961,1.2865,1.0,0.6586,172.6703,0.0,1408.6613
didi/DoKit,20439,7.58,14,1569,80480,51.2938,14.0,8851,4.5035,2.0,5.7316,1.3206,1.0,0.8375,71.7667,0.0,634.399
mybatis/mybatis-3,20395,13.07,46,1756,61067,34.7762,16.0,8625,3.5695,2.0,4.9931,1.238,1.0,0.7795,21.2711,0.0,249.0783
linlinjava/litemall,20195,7.98,8,617,90884,147.2998,37.0,11847,4.6175,3.0,5.8498,1.1264,1.0,0.3326,1532.8849,1.0,9402.6004
ReactiveX/RxAndroid,20182,11.56,20,55,1452,26.4,6.0,149,2.2727,1.0,3.7882,1.1273,1.0,0.4327,3.0909,0.0,11.2337
dianping/cat,18975,13.27,3,1892,98001,51.7976,26.0,9710,5.3784,4.0,5.8887,1.4345,1.0,0.7084,23.0359,1.0,104.2058
Baseflow/PhotoView,18863,13.65,5,45,1792,39.8222,14.0,187,4.7333,3.0,5.5449,1.3556,1.0,0.5703,24.6,0.0,157.2585
lionsoul2014/ip2region,18789,10.36,21,48,2564,53.4167,26.5,246,4.1042,4.0,2.9336,1.2083,1.0,0.5819,11.1875,0.0,34.3131
antlr/antlr4,18785,16.1,31,662,41022,61.9668,20.0,4439,5.7734,3.0,7.226,1.8353,1.0,1.1663,48.3021,0.0,192.8634
williamfiset/Algorithms,18528,8.99,0,461,33198,72.013,49.0,3139,2.6443,2.0,1.7381,1.0542,1.0,0.2267,22.1887,3.0,71.9232
Tencent/APIJSON,18408,9.31,111,70,13925,198.9286,19.0,1558,5.9143,3.0,8.6724,1.2429,1.0,0.6689,1169.3571,5.5,5422.4523
LMAX-Exchange/disruptor,18256,13.47,14,410,13167,32.1146,13.0,1632,4.4805,3.0,4.8221,1.2902,1.0,0.8102,25.8829,0.0,224.6995
forezp/SpringCloudLearning,17979,8.93,0,143,1123,7.8531,5.0,202,4.5524,4.0,2.3667,1.049,1.0,0.2165,0.5455,0.0,1.8604
Tencent/tinker,17812,9.51,60,520,40447,77.7827,28.0,2836,4.7923,3.0,7.1139,1.6038,1.0,2.5056,28.4712,0.0,110.9919
ben-manes/caffeine,17535,11.25,72,1388,88716,63.9164,16.0,9063,5.0569,3.0,6.777,1.5605,1.0,1.4029,164.6347,0.0,1780.4135
infinilabs/analysis-ik,17427,14.24,1,38,2571,67.6579,33.5,265,4.8158,4.0,3.5932,1.3684,1.0,0.4889,15.4211,2.5,28.3593
openzipkin/zipkin,17413,13.77,97,820,38984,47.5415,23.0,4687,6.4488,5.0,5.3722,1.5549,1.0,1.5337,19.3768,1.0,73.7787
justauth/JustAuth,17407,7.11,46,198,6054,30.5758,17.0,900,5.5101,2.0,6.0318,1.3434,1.0,0.5816,12.9848,6.0,19.532
gyoogle/tech-interview-for-developer,17197,6.76,0,13,636,48.9231,42.0,39,1.3077,1.0,0.7511,1.0,1.0,0.0,0.9231,0.0,3.0403
facebook/fresco,17164,11.03,55,1002,46352,46.2595,17.0,5723,6.5699,5.0,6.4691,1.4152,1.0,0.8925,27.1627,0.0,120.0662
