nome,url,estrelas,criado_em,idade_anos,releases,linguagem,disk_usage_kb
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,154216,2018-05-07 13:27:00+00:00,7.85,0,Java,179863
krahets/hello-algo,https://github.com/krahets/hello-algo,123202,2022-11-04 11:08:34+00:00,3.35,10,Java,411458
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,106824,2019-09-05 03:01:56+00:00,6.52,0,Java,123199
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,93803,2014-08-09 16:45:18+00:00,11.59,0,Java,47540
macrozheng/mall,https://github.com/macrozheng/mall,83131,2018-04-04 01:11:44+00:00,7.94,3,Java,58728
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,80236,2012-10-19 15:02:57+00:00,13.4,339,Java,212590
doocs/advanced-java,https://github.com/doocs/advanced-java,78899,2018-10-06 11:38:30+00:00,7.43,1,Java,26635
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76717,2018-12-06 08:01:22+00:00,7.27,0,Java,509807
elastic/elasticsearch,https://github.com/elastic/elasticsearch,76330,2010-02-08 13:20:56+00:00,16.09,235,Java,1574563
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,65707,2019-03-01 03:27:48+00:00,7.03,52,Java,402972
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,65200,2016-07-16 10:21:02+00:00,9.66,0,Java,6874
kdn251/interviews,https://github.com/kdn251/interviews,64946,2017-02-14 18:19:25+00:00,9.07,0,Java,24462
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,59756,2010-12-08 04:04:45+00:00,15.26,359,Java,239469
termux/termux-app,https://github.com/termux/termux-app,51903,2015-10-23 09:42:46+00:00,10.39,95,Java,5081
google/guava,https://github.com/google/guava,51500,2014-05-29 16:23:17+00:00,11.79,57,Java,1353584
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,49088,2015-10-21 08:26:28+00:00,10.39,243,Java,212145
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48484,2013-01-08 20:11:48+00:00,13.17,243,Java,146255
skylot/jadx,https://github.com/skylot/jadx,47610,2013-03-18 17:08:21+00:00,12.99,34,Java,25134
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,45394,2018-11-26 10:40:00+00:00,7.29,70,Java,93569
apache/dubbo,https://github.com/apache/dubbo,41710,2012-06-19 07:56:02+00:00,13.73,113,Java,61479
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,38226,2014-04-25 14:29:47+00:00,11.88,44,Java,21593
halo-dev/halo,https://github.com/halo-dev/halo,38084,2018-03-21 12:56:52+00:00,7.98,252,Java,83863
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,37515,2015-09-03 23:39:26+00:00,10.52,141,Java,86368
eugenp/tutorials,https://github.com/eugenp/tutorials,37358,2013-04-29 18:26:36+00:00,12.87,0,Java,118603
alibaba/arthas,https://github.com/alibaba/arthas,37183,2018-08-29 17:15:57+00:00,7.54,69,Java,65955
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,36021,2020-05-29 05:47:09+00:00,5.79,0,Java,365053
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,35785,2021-01-24 03:18:25+00:00,5.13,54,Java,186923
doocs/leetcode,https://github.com/doocs/leetcode,35764,2018-09-16 14:03:03+00:00,7.49,21,Java,733897
airbnb/lottie-android,https://github.com/airbnb/lottie-android,35600,2016-10-06 22:42:42+00:00,9.43,63,Java,137398
bumptech/glide,https://github.com/bumptech/glide,35036,2013-07-08 22:52:33+00:00,12.68,54,Java,97797
ashishps1/awesome-system-design-resources,https://github.com/ashishps1/awesome-system-design-resources,35010,2023-10-25 01:50:42+00:00,2.38,0,Java,2340
netty/netty,https://github.com/netty/netty,34844,2010-11-09 09:22:21+00:00,15.34,0,Java,108494
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,34117,2013-01-14 21:40:56+00:00,13.16,114,Java,2332027
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,34110,2017-11-10 06:27:29+00:00,8.34,0,Java,14194
zxing/zxing,https://github.com/zxing/zxing,33884,2011-10-12 14:07:27+00:00,14.42,32,Java,243326
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33761,2018-02-06 03:14:08+00:00,8.1,14,Java,26334
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33706,2016-07-30 18:18:32+00:00,9.62,117,Java,47329
keycloak/keycloak,https://github.com/keycloak/keycloak,33332,2013-07-02 13:38:51+00:00,12.7,102,Java,581172
alibaba/nacos,https://github.com/alibaba/nacos,32729,2018-06-15 06:49:27+00:00,7.74,89,Java,70752
binarywang/WxJava,https://github.com/binarywang/WxJava,32629,2016-01-06 08:24:05+00:00,10.18,31,Java,19873
apache/kafka,https://github.com/apache/kafka,32138,2011-08-15 18:06:16+00:00,14.58,0,Java,279571
conductor-oss/conductor,https://github.com/conductor-oss/conductor,31500,2023-12-08 06:06:09+00:00,2.26,35,Java,34714
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,30646,2016-11-05 05:32:33+00:00,9.35,0,Java,1074
chinabugotech/hutool,https://github.com/chinabugotech/hutool,30340,2014-04-13 07:23:51+00:00,11.92,157,Java,74717
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,29980,2015-11-28 12:59:34+00:00,10.29,42,Java,38699
apolloconfig/apollo,https://github.com/apolloconfig/apollo,29777,2016-03-04 10:24:23+00:00,10.02,42,Java,57201
alibaba/canal,https://github.com/alibaba/canal,29623,2013-01-13 10:59:52+00:00,13.16,32,Java,24243
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,29077,2017-12-01 20:49:15+00:00,8.28,51,Java,56680
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,29016,2018-05-02 02:48:44+00:00,7.86,0,Java,1069
yuliskov/SmartTube,https://github.com/yuliskov/SmartTube,28798,2020-07-28 12:53:52+00:00,5.62,972,Java,102201
DrKLO/Telegram,https://github.com/DrKLO/Telegram,28703,2013-10-25 14:08:10+00:00,12.38,95,Java,641019
alibaba/druid,https://github.com/alibaba/druid,28225,2011-11-03 05:12:51+00:00,14.36,52,Java,93609
lenve/vhr,https://github.com/lenve/vhr,28077,2018-01-04 08:57:51+00:00,8.19,0,Java,8480
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,27013,2017-12-17 09:06:50+00:00,8.24,0,Java,1191
Anuken/Mindustry,https://github.com/Anuken/Mindustry,26843,2017-04-30 01:24:29+00:00,8.87,180,Java,1910862
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,26605,2018-09-14 04:36:24+00:00,7.49,0,Java,65716
kestra-io/kestra,https://github.com/kestra-io/kestra,26533,2019-08-24 13:56:15+00:00,6.55,405,Java,99855
apache/incubator-seata,https://github.com/apache/incubator-seata,25960,2018-12-28 08:37:22+00:00,7.21,45,Java,31123
OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,25956,2018-05-12 09:57:56+00:00,7.84,78,Java,960683
apache/flink,https://github.com/apache/flink,25860,2014-06-07 07:00:10+00:00,11.76,0,Java,540149
alibaba/fastjson,https://github.com/alibaba/fastjson,25706,2011-11-03 06:58:52+00:00,14.36,84,Java,15513
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,25472,2018-10-25 09:54:54+00:00,7.38,0,Java,8004
