nome,estrelas,criado_em,idade_dias,atualizado_em,dias_desde_update,linguagem,prs_aceitas,releases,total_issues,issues_fechadas,razao_fechadas
codecrafters-io/build-your-own-x,472636,2018-05-09 12:03:18+00:00,2857,2026-03-06 05:17:30+00:00,0,Markdown,155,0,888,653,0.7354
sindresorhus/awesome,442933,2014-07-11 13:42:37+00:00,4255,2026-03-06 05:11:24+00:00,0,,694,0,365,349,0.9562
freeCodeCamp/freeCodeCamp,437813,2014-12-24 17:49:19+00:00,4089,2026-03-06 04:07:06+00:00,0,TypeScript,27772,0,21154,20978,0.9917
public-apis/public-apis,404586,2016-03-20 23:49:42+00:00,3637,2026-03-06 04:57:12+00:00,0,Python,1872,0,839,833,0.9928
EbookFoundation/free-programming-books,383644,2013-10-11 06:50:37+00:00,4528,2026-03-06 04:43:18+00:00,0,Python,7328,0,1263,1227,0.9715
kamranahmedse/developer-roadmap,350262,2017-03-15 13:45:52+00:00,3277,2026-03-06 05:17:35+00:00,0,TypeScript,4073,1,3085,3054,0.99
jwasham/coding-interview-university,337621,2016-06-06 02:34:12+00:00,3560,2026-03-06 03:23:56+00:00,0,,415,0,525,454,0.8648
donnemartin/system-design-primer,337428,2017-02-26 16:15:28+00:00,3294,2026-03-06 05:08:48+00:00,0,Python,203,0,360,110,0.3056
vinta/awesome-python,285783,2014-06-27 21:00:06+00:00,4269,2026-03-06 05:11:17+00:00,0,Python,641,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,277657,2015-06-01 02:33:17+00:00,3931,2026-03-06 05:16:30+00:00,0,,2395,1,807,807,1.0
996icu/996.ICU,275653,2019-03-26 07:31:14+00:00,2536,2026-03-06 04:58:18+00:00,0,,1072,0,0,0,0.0
openclaw/openclaw,266678,2025-11-24 10:16:47+00:00,101,2026-03-06 05:17:53+00:00,0,TypeScript,2761,59,15452,10092,0.6531
practical-tutorials/project-based-learning,260318,2017-04-12 05:07:46+00:00,3250,2026-03-06 05:04:08+00:00,0,,182,0,227,82,0.3612
facebook/react,243645,2013-05-24 16:15:54+00:00,4668,2026-03-06 05:11:15+00:00,0,JavaScript,12774,118,14385,13576,0.9438
torvalds/linux,221080,2011-09-04 22:48:12+00:00,5296,2026-03-06 05:16:21+00:00,0,C,0,0,0,0,0.0
TheAlgorithms/Python,218371,2016-07-16 09:44:01+00:00,3519,2026-03-06 04:39:48+00:00,0,Python,3046,0,1702,1540,0.9048
vuejs/vue,209958,2013-07-29 03:24:51+00:00,4603,2026-03-06 03:25:09+00:00,0,TypeScript,1136,249,10027,9668,0.9642
trimstray/the-book-of-secret-knowledge,208836,2018-06-23 10:43:14+00:00,2812,2026-03-06 05:11:00+00:00,0,,122,0,0,0,0.0
ossu/computer-science,202151,2014-05-04 00:18:39+00:00,4324,2026-03-06 03:53:45+00:00,0,HTML,305,0,666,654,0.982
trekhleb/javascript-algorithms,195733,2018-03-24 07:47:04+00:00,2903,2026-03-06 05:08:04+00:00,0,JavaScript,304,0,371,233,0.628
tensorflow/tensorflow,194007,2015-11-07 01:19:20+00:00,3772,2026-03-06 04:39:44+00:00,0,C++,42330,221,41196,40302,0.9783
ohmyzsh/ohmyzsh,185133,2009-08-28 18:15:37+00:00,6033,2026-03-06 03:44:51+00:00,0,Shell,3515,0,5034,4891,0.9716
getify/You-Dont-Know-JS,184462,2013-11-16 02:37:24+00:00,4493,2026-03-06 02:59:29+00:00,0,,370,0,949,949,1.0
CyC2018/CS-Notes,183820,2018-02-13 14:56:24+00:00,2942,2026-03-06 04:50:24+00:00,0,,374,0,578,449,0.7768
microsoft/vscode,182331,2015-09-03 20:23:38+00:00,3836,2026-03-06 05:03:51+00:00,0,TypeScript,43337,197,232226,218779,0.9421
Significant-Gravitas/AutoGPT,182205,2023-03-16 09:21:07+00:00,1085,2026-03-06 03:54:24+00:00,0,Python,3970,94,3739,3505,0.9374
jackfrued/Python-100-Days,179316,2018-03-01 16:05:52+00:00,2926,2026-03-06 04:39:57+00:00,0,Jupyter Notebook,13,0,711,188,0.2644
n8n-io/n8n,177789,2019-06-22 09:24:21+00:00,2448,2026-03-06 05:10:49+00:00,0,TypeScript,14089,547,8224,7755,0.943
flutter/flutter,175441,2015-03-06 22:54:58+00:00,4017,2026-03-06 04:22:43+00:00,0,Dart,46937,7,112445,100284,0.8918
twbs/bootstrap,174023,2011-07-29 21:19:00+00:00,5333,2026-03-06 05:14:17+00:00,0,MDX,9114,94,22848,22459,0.983
github/gitignore,172840,2010-11-08 20:17:14+00:00,5596,2026-03-06 05:03:34+00:00,0,,1727,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,167818,2020-01-12 23:03:34+00:00,2244,2026-03-06 05:17:36+00:00,0,Batchfile,5,29,908,906,0.9978
avelino/awesome-go,166652,2014-07-06 13:42:15+00:00,4260,2026-03-06 05:11:10+00:00,0,Go,3610,0,727,713,0.9807
ollama/ollama,164227,2023-06-26 19:39:32+00:00,983,2026-03-06 05:06:40+00:00,0,Go,3073,189,9492,7501,0.7902
AUTOMATIC1111/stable-diffusion-webui,161512,2022-08-22 14:05:26+00:00,1291,2026-03-06 03:45:42+00:00,0,Python,1884,27,7886,5486,0.6957
jlevy/the-art-of-command-line,160087,2015-05-20 15:11:03+00:00,3942,2026-03-06 04:28:06+00:00,0,,317,0,258,136,0.5271
huggingface/transformers,157462,2018-10-29 13:56:00+00:00,2684,2026-03-06 04:55:31+00:00,0,Python,18738,244,18666,17588,0.9422
